Model,Semantic Coherence,Factual Accuracy,Content Coverage,Fluency,Topsis Score,Rank
google/pegasus-large,0.6832871619121621,0.4069587452777108,0.3487143773106571,10.019076988090484,0.33703313811813856,2.0
allenai/led-large-16384-arxiv,0.2235046949167845,0.3022163395540677,0.1414005934718256,4.826370874147397,1.0,1.0
sshleifer/distilbart-cnn-12-6,0.6863986365374053,0.5017731555687945,0.4624007854573773,13.725295666043635,0.058346855264947185,5.0
facebook/bart-large-cnn,0.6226147056826936,0.4248374445027589,0.3377319092863878,12.722677173798832,0.28894457056060624,3.0
t5-large,0.7341893596544564,0.3641487861923967,0.4025568008433651,14.306211203121745,0.21533840358673154,4.0
