Model,Semantic Coherence,Factual Accuracy,Content Coverage,Fluency
google/pegasus-large,0.6832871619121621,0.40695874527771086,0.34871437731065713,10.019076988090484
allenai/led-large-16384-arxiv,0.22350469491678457,0.30221633955406774,0.14140059347182565,4.826370874147397
sshleifer/distilbart-cnn-12-6,0.6863986365374053,0.5017731555687945,0.46240078545737734,13.725295666043635
facebook/bart-large-cnn,0.6226147056826936,0.4248374445027589,0.33773190928638785,12.722677173798832
t5-large,0.7341893596544564,0.36414878619239677,0.4025568008433651,14.306211203121743
